NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
BAJFI,"3,988.25","3,948.45","3,973.00","4,015.00","3,969.00","3,948.45",2019-10-11 10:24:24,2019-10-11,10,24
MARUTI,"6,688.00","6,610.15","6,650.00","6,719.25","6,630.00","6,610.15",2019-10-11 10:24:24,2019-10-11,10,24
INDBA,"1,223.55","1,228.95","1,240.00","1,253.85","1,212.00","1,228.95",2019-10-11 10:24:24,2019-10-11,10,24
ASIPAI,"1,795.00","1,778.45","1,782.00","1,801.60","1,781.05","1,778.45",2019-10-11 10:24:24,2019-10-11,10,24
BHAAIR,377.10,377.40,376.40,378.65,372.55,377.40,2019-10-11 10:24:24,2019-10-11,10,24
HCLTEC,"1,078.20","1,063.65","1,057.80","1,088.00","1,042.50","1,063.65",2019-10-11 10:24:24,2019-10-11,10,24
TITIND,"1,228.45","1,235.00","1,240.00","1,241.15","1,223.70","1,235.00",2019-10-11 10:24:24,2019-10-11,10,24
MAHMAH,566.75,566.55,570.00,575.50,566.45,566.55,2019-10-11 10:24:24,2019-10-11,10,24
BAFINS,"8,289.30","8,201.45","8,224.00","8,328.70","8,224.00","8,201.45",2019-10-11 10:24:24,2019-10-11,10,24
NTPC,117.55,117.10,116.70,118.25,116.70,117.10,2019-10-11 10:24:24,2019-10-11,10,24
NESIND,"13,939.00","13,839.85","13,840.00","13,974.95","13,840.00","13,839.85",2019-10-11 10:24:24,2019-10-11,10,24
POWGRI,203.15,199.15,199.90,204.15,199.00,199.15,2019-10-11 10:24:24,2019-10-11,10,24
ULTCEM,"4,031.95","3,980.55","3,982.00","4,085.00","3,982.00","3,980.55",2019-10-11 10:24:24,2019-10-11,10,24
TECMAH,706.55,710.85,702.50,709.25,698.05,710.85,2019-10-11 10:24:24,2019-10-11,10,24
SUNPHA,384.70,386.95,386.95,388.90,382.25,386.95,2019-10-11 10:24:24,2019-10-11,10,24
ONGC,128.50,125.40,125.45,128.95,125.45,125.40,2019-10-11 10:24:24,2019-10-11,10,24
BAAUTO,"2,910.00","2,888.00","2,878.00","2,924.50","2,878.00","2,888.00",2019-10-11 10:24:24,2019-10-11,10,24
BHARAS,"5,805.80","5,658.30","5,800.00","5,805.80","5,800.00","5,658.30",2019-10-11 10:24:24,2019-10-11,10,24
INDOIL,146.25,148.10,148.00,148.90,145.70,148.10,2019-10-11 10:24:24,2019-10-11,10,24
COALIN,188.85,184.50,185.00,190.20,185.00,184.50,2019-10-11 10:24:24,2019-10-11,10,24
WIPRO,239.25,239.15,237.60,240.00,236.70,239.15,2019-10-11 10:24:24,2019-10-11,10,24
HERHON,"2,613.00","2,601.95","2,618.80","2,634.00","2,603.70","2,601.95",2019-10-11 10:24:24,2019-10-11,10,24
BRIIND,"3,085.50","3,037.45","3,049.00","3,096.90","3,038.10","3,037.45",2019-10-11 10:24:24,2019-10-11,10,24
UNIP,586.60,583.30,582.50,590.20,582.50,583.30,2019-10-11 10:24:24,2019-10-11,10,24
DRREDD,"2,635.50","2,633.45","2,652.35","2,654.85","2,607.80","2,633.45",2019-10-11 10:24:24,2019-10-11,10,24
ADAPOR,401.00,399.95,407.30,407.30,400.70,399.95,2019-10-11 10:24:24,2019-10-11,10,24
GRASIM,696.80,696.15,700.00,705.80,696.20,696.15,2019-10-11 10:24:24,2019-10-11,10,24
VEDLIM,146.55,141.35,142.90,148.20,142.25,141.35,2019-10-11 10:24:24,2019-10-11,10,24
HINDAL,187.80,182.35,184.95,189.05,183.80,182.35,2019-10-11 10:24:24,2019-10-11,10,24
