NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
ASIPAI,"1,813.90","1,812.95","1,812.95","1,823.85","1,788.70","1,812.95",2019-10-18 09:47:49,2019-10-18,09,47
BHAAIR,382.00,385.75,385.00,385.00,381.10,385.75,2019-10-18 09:47:49,2019-10-18,09,47
HCLTEC,"1,093.00","1,092.90","1,103.00","1,103.00","1,088.25","1,092.90",2019-10-18 09:47:49,2019-10-18,09,47
TITIND,"1,282.75","1,276.85","1,287.70","1,287.70","1,274.40","1,276.85",2019-10-18 09:47:49,2019-10-18,09,47
MAHMAH,589.50,593.15,589.75,592.35,586.15,593.15,2019-10-18 09:47:49,2019-10-18,09,47
BAFINS,"8,417.45","8,295.65","8,362.00","8,440.00","8,282.45","8,295.65",2019-10-18 09:47:49,2019-10-18,09,47
NTPC,120.60,118.60,119.80,120.65,118.50,118.60,2019-10-18 09:47:49,2019-10-18,09,47
NESIND,"14,461.05","14,512.75","14,510.00","14,512.75","14,392.35","14,512.75",2019-10-18 09:47:49,2019-10-18,09,47
POWGRI,199.85,197.70,197.00,201.00,197.00,197.70,2019-10-18 09:47:49,2019-10-18,09,47
ULTCEM,"4,331.60","4,257.40","4,260.00","4,350.00","4,256.90","4,257.40",2019-10-18 09:47:49,2019-10-18,09,47
TECMAH,728.40,726.25,724.85,732.15,723.05,726.25,2019-10-18 09:47:49,2019-10-18,09,47
SUNPHA,400.15,401.40,401.60,402.30,397.80,401.40,2019-10-18 09:47:49,2019-10-18,09,47
ONGC,142.00,141.35,141.00,142.40,140.00,141.35,2019-10-18 09:47:49,2019-10-18,09,47
BAAUTO,"3,093.20","3,110.30","3,120.00","3,123.45","3,088.00","3,110.30",2019-10-18 09:47:49,2019-10-18,09,47
BHARAS,"6,144.15","6,053.45","6,078.50","6,144.15","6,066.00","6,053.45",2019-10-18 09:47:49,2019-10-18,09,47
INDOIL,147.35,146.45,147.65,147.65,145.95,146.45,2019-10-18 09:47:49,2019-10-18,09,47
COALIN,198.35,199.35,199.00,199.50,197.90,199.35,2019-10-18 09:47:49,2019-10-18,09,47
WIPRO,249.85,248.05,248.10,250.65,248.10,248.05,2019-10-18 09:47:49,2019-10-18,09,47
HERHON,"2,652.65","2,628.60","2,629.00","2,661.65","2,615.10","2,628.60",2019-10-18 09:47:49,2019-10-18,09,47
BRIIND,"3,236.10","3,245.20","3,244.00","3,244.00","3,224.50","3,245.20",2019-10-18 09:47:49,2019-10-18,09,47
UNIP,591.00,592.40,591.70,597.20,589.00,592.40,2019-10-18 09:47:49,2019-10-18,09,47
DRREDD,"2,716.15","2,726.65","2,722.50","2,725.20","2,711.00","2,726.65",2019-10-18 09:47:49,2019-10-18,09,47
ADAPOR,412.80,408.95,410.00,413.05,408.45,408.95,2019-10-18 09:47:49,2019-10-18,09,47
GRASIM,728.00,724.75,724.75,732.45,718.00,724.75,2019-10-18 09:47:49,2019-10-18,09,47
VEDLIM,150.00,148.15,148.30,150.75,148.00,148.15,2019-10-18 09:47:49,2019-10-18,09,47
HINDAL,190.00,188.85,189.00,191.10,186.85,188.85,2019-10-18 09:47:49,2019-10-18,09,47
TATSTE,355.40,355.65,355.65,359.10,351.80,355.65,2019-10-18 09:47:49,2019-10-18,09,47
EICMOT,"20,375.00","20,518.00","20,550.15","20,668.60","20,245.60","20,518.00",2019-10-18 09:47:49,2019-10-18,09,47
GAIL,130.00,128.70,128.90,130.30,127.85,128.70,2019-10-18 09:47:49,2019-10-18,09,47
JSWSTE,222.00,223.35,223.90,224.25,220.65,223.35,2019-10-18 09:47:49,2019-10-18,09,47
BHAINF,256.15,257.20,257.50,257.50,254.45,257.20,2019-10-18 09:47:49,2019-10-18,09,47
CIPLA,444.00,446.30,448.15,448.75,442.95,446.30,2019-10-18 09:47:49,2019-10-18,09,47
TATMOT,138.30,138.15,140.00,141.80,135.55,138.15,2019-10-18 09:47:49,2019-10-18,09,47
ZEEENT,254.80,264.70,247.95,262.80,247.95,264.70,2019-10-18 09:47:49,2019-10-18,09,47
