NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
TCS,2034.95,2030.70,2038.00,2038.00,2030.00,2030.70,4.25,+0.21,1691,09:18:01.000,2296.00,1784.00,2019-10-18 09:17:46,2019-10-18,09,17
KOTMAH,1592.40,1603.95,1603.95,1604.80,1591.85,1603.95,-11.55,-0.72,1076,09:18:03.000,1682.40,1099.00,2019-10-18 09:17:46,2019-10-18,09,17
LARTOU,1431.25,1424.25,1428.00,1431.50,1425.80,1424.25,7.00,+0.49,2708,09:18:04.000,1606.70,1183.40,2019-10-18 09:17:46,2019-10-18,09,17
HINLEV,2092.50,2103.60,2100.00,2100.00,2092.50,2103.60,-11.10,-0.53,1129,09:18:07.000,2108.00,1522.00,2019-10-18 09:17:46,2019-10-18,09,17
AXIBAN,708.10,710.55,710.90,710.90,706.00,710.55,-2.45,-0.34,7955,09:18:08.000,826.55,534.15,2019-10-18 09:17:46,2019-10-18,09,17
STABAN,264.05,265.45,264.50,264.70,263.50,265.45,-1.40,-0.53,42552,09:18:10.000,373.70,244.35,2019-10-18 09:17:46,2019-10-18,09,17
BAJFI,4096.00,4105.20,4120.00,4120.00,4082.80,4105.20,-9.20,-0.22,1713,09:18:13.000,4115.25,2000.80,2019-10-18 09:17:46,2019-10-18,09,17
MARUTI,7082.15,7123.10,7105.00,7105.00,7062.95,7123.10,-40.95,-0.57,1752,09:18:16.000,7929.00,5447.00,2019-10-18 09:17:46,2019-10-18,09,17
INDBA,1324.65,1339.80,1338.00,1338.00,1323.00,1339.80,-15.15,-1.13,6441,09:18:17.000,1835.00,1192.00,2019-10-18 09:17:46,2019-10-18,09,17
ASIPAI,1801.90,1812.95,1812.95,1815.65,1801.90,1812.95,-11.05,-0.61,1208,09:18:18.000,1824.15,1119.60,2019-10-18 09:17:46,2019-10-18,09,17
BHAAIR,383.60,385.75,385.00,385.00,382.20,385.75,-2.15,-0.56,2560,09:18:19.000,396.55,264.41,2019-10-18 09:17:46,2019-10-18,09,17
HCLTEC,1094.05,1092.90,1103.00,1103.00,1090.95,1092.90,1.15,+0.11,353,09:18:20.000,1190.00,920.15,2019-10-18 09:17:46,2019-10-18,09,17
TITIND,1279.40,1276.85,1287.70,1287.70,1274.40,1276.85,2.55,+0.20,1815,09:18:21.000,1345.55,766.65,2019-10-18 09:17:46,2019-10-18,09,17
MAHMAH,587.70,593.15,589.75,591.10,587.70,593.15,-5.45,-0.92,1590,09:18:23.000,814.00,502.85,2019-10-18 09:17:46,2019-10-18,09,17
BAFINS,8339.10,8295.65,8362.00,8362.00,8282.45,8295.65,43.45,+0.52,351,09:18:26.000,8668.65,4960.00,2019-10-18 09:17:46,2019-10-18,09,17
NTPC,118.70,118.60,119.80,119.80,118.55,118.60,0.10,+0.08,3430,09:18:27.000,145.85,106.71,2019-10-18 09:17:46,2019-10-18,09,17
NESIND,14392.35,14512.75,14510.00,14512.75,14392.35,14512.75,-120.40,-0.83,88,09:18:28.000,14606.60,9205.00,2019-10-18 09:17:46,2019-10-18,09,17
POWGRI,197.65,197.70,197.00,197.70,197.00,197.70,-0.05,-0.03,1578,09:18:28.000,216.20,173.05,2019-10-18 09:17:46,2019-10-18,09,17
ULTCEM,4279.00,4257.40,4260.00,4279.00,4256.90,4257.40,21.60,+0.51,94,09:18:31.000,4903.90,3263.70,2019-10-18 09:17:46,2019-10-18,09,17
TECMAH,732.00,726.25,724.85,732.00,723.05,726.25,5.75,+0.79,2761,09:18:33.000,846.00,607.90,2019-10-18 09:17:46,2019-10-18,09,17
SUNPHA,398.85,401.40,401.60,401.60,397.80,401.40,-2.55,-0.64,6602,09:18:35.000,616.50,350.40,2019-10-18 09:17:46,2019-10-18,09,17
ONGC,140.25,141.35,141.00,141.15,140.00,141.35,-1.10,-0.78,7126,09:18:36.000,178.95,115.55,2019-10-18 09:17:46,2019-10-18,09,17
BAAUTO,3090.00,3110.30,3120.00,3123.45,3090.00,3110.30,-20.30,-0.65,430,09:18:38.000,3145.55,2400.00,2019-10-18 09:17:46,2019-10-18,09,17
BHARAS,NA,6053.45,NA,NA,NA,6053.45,NA,NA,NA,09:15:02.000,6539.00,3352.10,2019-10-18 09:17:46,2019-10-18,09,17
INDOIL,146.85,146.45,147.65,147.65,145.95,146.45,0.40,+0.27,4399,09:18:43.000,170.40,116.10,2019-10-18 09:17:46,2019-10-18,09,17
COALIN,197.90,199.35,199.00,199.00,197.90,199.35,-1.45,-0.73,15229,09:18:45.000,288.30,177.80,2019-10-18 09:17:46,2019-10-18,09,17
WIPRO,249.90,248.05,248.10,250.00,248.10,248.05,1.85,+0.75,3012,09:18:47.000,301.55,220.50,2019-10-18 09:17:46,2019-10-18,09,17
HERHON,2627.00,2628.60,2629.00,2631.70,2615.10,2628.60,-1.60,-0.06,464,09:18:50.000,3382.70,2228.25,2019-10-18 09:17:46,2019-10-18,09,17
BRIIND,3233.45,3245.20,3244.00,3244.00,3225.00,3245.20,-11.75,-0.36,239,09:18:52.000,3443.90,2302.00,2019-10-18 09:17:46,2019-10-18,09,17
UNIP,590.00,592.40,591.70,591.90,589.00,592.40,-2.40,-0.41,2006,09:18:55.000,709.25,390.53,2019-10-18 09:17:46,2019-10-18,09,17
DRREDD,2721.65,2726.65,2722.50,2725.20,2718.00,2726.65,-5.00,-0.18,131,09:18:57.000,2965.20,2065.30,2019-10-18 09:17:46,2019-10-18,09,17
ADAPOR,409.30,408.95,410.00,410.95,408.45,408.95,0.35,+0.09,2748,09:18:59.000,430.00,293.95,2019-10-18 09:17:46,2019-10-18,09,17
